object_id;title;status;visibility;gold_indicators_found;missing_fields;oefos_ids;oefos_labels;bk_ids;bk_labels;gnd_ids;gnd_labels;mime_types;file_formats;date_published;language;object_types;doi_internal;doi_external
o:5902;Computer;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5887;3 Personen;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5892;30 Minuten;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5900;Buch;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5930;Zwei Puzzleteile;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5924;Teetasse;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5890;15 Minuten;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5897;Baum 2;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5926;Wecker;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5921;Sprechblase eckig;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5911;Kaffeetasse;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5929;Zielscheibe;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5916;Puzzleteil einzeln;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5919;Sonne;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5883;Austausch;GREEN;True;0;None;oefos2012:503006;Bildungsforschung;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5925;Wachstum;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5906;Fernglas;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5914;Pokal;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5912;Luftballon;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5931;Zweiergespräch am Tisch;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5915;Person;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5903;Diskussion;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5898;Baustelle;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5893;45 Minuten;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5908;Gießkanne;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5891;20 Minuten;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5917;Schild;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5920;Sprachrohr;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5910;Glühbirne;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5888;5 Minuten;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5922;Sprechblase rund;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5889;10 Minuten;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5913;Lupe;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5905;Essen;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5901;Checkbox;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5894;Abschlusshut;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5895;Achtung!;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5909;Gipfel;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5927;Weg;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5896;Baum;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5884;OER-Weiterbildungskonzept FH St. Pölten;RED;False;2;MISSING_DISCIPLINE;None;None;None;None;105237154X, 4117622-4;Open educational Resources, Weiterbildung;application/pdf;PDF;Pending API Update;deu;learning object, Text;None;None
o:5899;Berge;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5904;Dokument;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
o:5923;Stift;GREEN;True;0;None;oefos2012:503018;Hochschuldidaktik;None;None;None;None;image/png;Bild (PNG);Pending API Update;deu;learning object, Image;None;None
